Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
1/30/2019,Tomasz,Malinowski,US Congressman,EQIX,Equinix Inc,8000,Buy,"Traded $1,001 to $15,000 "
1/29/2019,Thomas,Suozzi,US Congressman,WGO,Winnebago Indu,32500,Sell,"Traded $15,001 to $50,000 ."
1/29/2019,Thomas,Suozzi,US Congressman,AAPL,Apple Inc,32500,Buy,"Traded $15,001 to $50,000 ."
1/29/2019,Thomas,Suozzi,US Congressman,CAT,Caterpillar In,32500,Buy,"Traded $15,001 to $50,000 "
1/29/2019,Thomas,Suozzi,US Congressman,AMD,Adv Micro Devi,32500,Buy,"Traded $15,001 to $50,000 "
1/29/2019,Thomas,Suozzi,US Congressman,NVDA,Nvidia Corp,8000,Sell,"Traded $1,001 to $15,000 ."
1/29/2019,Tomasz,Malinowski,US Congressman,CL,Colgate-Palmol,8000,Sell,"Traded $1,001 to $15,000 "
1/28/2019,Tomasz,Malinowski,US Congressman,POST,Post Holdings ,8000,Sell,"Traded $1,001 to $15,000 "
1/28/2019,Tomasz,Malinowski,US Congressman,EQIX,Equinix Inc,8000,Buy,"Traded $1,001 to $15,000 "
1/27/2019,Tomasz,Malinowski,US Congressman,ZUO,Zuora Inc,8000,Buy,"Traded $1,001 to $15,000 "
1/25/2019,Thomas,Suozzi,US Congressman,C,Citigroup Inc,40501,Sell,"Traded $16,002 To $65,000 ."
1/25/2019,Tomasz,Malinowski,US Congressman,CSLT,Castlight Heal,8000,Buy,"Traded $1,001 to $15,000 "
1/24/2019,Thomas,Suozzi,US Congressman,IXP,Global Telecom,8000,Sell,"Traded $1,001 to $15,000 ."
1/24/2019,Thomas,Suozzi,US Congressman,IBM,International ,8000,Sell,"Traded $1,001 to $15,000 "
1/24/2019,Thomas,Suozzi,US Congressman,INTC,Intel Corp,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,QGEN,Qiagen N.V.,8000,Sell,"Traded $1,001 to $15,000 ."
1/23/2019,Donna,Shalala,US Congressman,SWBI,Smith & Wesson,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,RGLD,Royal Gold Inc,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,PGRE,Paramount Grou,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,HE,Hawaiian Elect,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,EEFT,Euronet Worldw,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,DECK,Deckers Outdoo,8000,Sell,"Traded $1,001 to $15,000 "
1/23/2019,Thomas,Suozzi,US Congressman,URI,United Rentals,8000,Buy,"Traded $1,001 to $15,000 ."
1/23/2019,Tomasz,Malinowski,US Congressman,SPG,Simon Property,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,TOL,Toll Brothers ,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,TCMD,Tactile System,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,UPBD,Upbound Group ,8000,Buy,"Traded $1,001 to $15,000 ."
1/23/2019,Donna,Shalala,US Congressman,PBYI,Puma Biotechno,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,PNR,Pentair Ltd,8000,Buy,"Traded $1,001 to $15,000 "
1/23/2019,Donna,Shalala,US Congressman,AMD,Adv Micro Devi,8000,Buy,"Traded $1,001 to $15,000 "
1/22/2019,Tomasz,Malinowski,US Congressman,EVBG,Everbridge Inc,32500,Sell,"Traded $15,001 to $50,000 "
1/18/2019,Tomasz,Malinowski,US Congressman,FRT,Federal Realty,32500,Buy,"Traded $15,001 to $50,000 "
1/18/2019,Cynthia,Axne,US Congressman,META,Meta Platforms,16001,Buy,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
1/18/2019,Tomasz,Malinowski,US Congressman,SPG,Simon Property,8000,Sell,"Traded $1,001 to $15,000 "
1/15/2019,Donna,Shalala,US Congressman,WB,Weibo Corp ADR,8000,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
1/15/2019,Tomasz,Malinowski,US Congressman,CSLT,Castlight Heal,8000,Buy,"Traded $1,001 to $15,000 "
1/14/2019,Thomas,Suozzi,US Congressman,NVDA,Nvidia Corp,32500,Buy,"Traded $15,001 to $50,000 ."
1/14/2019,Thomas,Suozzi,US Congressman,TEL,Te Connectivit,8000,Sell,"Traded $1,001 to $15,000 ."
1/14/2019,Thomas,Suozzi,US Congressman,MDT,Medtronic Inc,8000,Sell,"Traded $1,001 to $15,000 "
1/14/2019,Donna,Shalala,US Congressman,WB,Weibo Corp ADR,8000,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
1/11/2019,Donna,Shalala,US Congressman,WB,Weibo Corp ADR,8000,Sell,"As ADR/ADS but shown as Ord equivalent. Traded $1,001 to $15,000 ."
1/10/2019,David,Joyce,US Congressman,QQQ,Nasdaq QQQ Inv,16001,Sell,"Traded $2,002 To $30,000 "
1/10/2019,David,Joyce,US Congressman,VGT,Information Te,8000,Buy,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,QGEN,Qiagen N.V.,8000,Sell,"Traded $1,001 to $15,000 ."
1/9/2019,Donna,Shalala,US Congressman,YEXT,Yext Inc,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,TRIP,Tripadvisor In,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,RL,Ralph Lauren C,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,MC,Moelis,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,IART,Integra Lifesc,8000,Sell,"Traded $1,001 to $15,000 ."
1/9/2019,Donna,Shalala,US Congressman,FAF,First American,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,EEFT,Euronet Worldw,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,DRQ,Dril-Quip,8000,Sell,"Traded $1,001 to $15,000 "
1/9/2019,Donna,Shalala,US Congressman,DECK,Deckers Outdoo,8000,Sell,"Traded $1,001 to $15,000 "
