Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2024-02-29,Michael,Mccaul,"US Congressman",FCNCP,"First Citizens",32500,Buy,"By Dependent Child.Traded $15,001 to $50,000 ."
2024-02-29,Michael,Mccaul,"US Congressman",FCNCP,"First Citizens",32500,Buy,"By Dependent Child.Traded $15,001 to $50,000 ."
2024-02-29,Michael,Mccaul,"US Congressman",FCNCP,"First Citizens",32500,Buy,"Traded $15,001 to $50,000 . By Spouse."
2024-02-29,Michael,Mccaul,"US Congressman",FCNCP,"First Citizens",8000,Buy,"Traded $1,001 To $15,000 . By Spouse."
2024-02-29,Suzan,Delbene,"US Congressman",MSFT,"Microsoft Corp",175000,Sell,"Pursuant To A Forward Contract Dated 09-Feb-2022. By Spouse. Traded $100,001 to $250,000 ."
2024-02-29,Joshua,Gottheimer,"US Congressman",FCX,Freeport-Mcmor,8000,Sell,"Traded $1,001 to $15,000 ."
2024-02-29,Peter,Sessions,"US Congressman",V,"Visa Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2024-02-29,Peter,Sessions,"US Congressman",AAPL,"Apple Inc",375000,Buy,"By Spouse. Traded $360,000 ."
2024-02-28,William,Keating,"US Congressman",URI,"United Rentals",8000,Sell,"Traded $1,001 to $15,000 ."
2024-02-28,William,Keating,"US Congressman",TDG,"Transdigm Grou",8000,Buy,"Traded $1,001 to $15,000 ."
2024-02-28,William,Keating,"US Congressman",BA,"Boeing Company",8000,Buy,"Traded $1,001 to $15,000 ."
2024-02-27,Michael,Mccaul,"US Congressman",PM,"Philip Morris ",450001,Sell,"By Spouse & Dependent Child. Traded $300,002 To $600,000 ."
2024-02-27,Michael,Mccaul,"US Congressman",D,"Dominion Energ",407501,Buy,"By Spouse & Dependent Child. Traded $265,002 to $550,000 ."
2024-02-27,Shelley,Capito,"US Senator",ZTS,"Zoetis Inc Cl ",32500,Buy,"By Spouse. Traded $15,001 to $50,000 ."
2024-02-27,Thomas,Tuberville,"US Senator",SBLK,"Star Bulk Carr",75000,Buy,"Traded $50,001 to $100,000 ."
2024-02-27,Thomas,Tuberville,"US Senator",SSBK,"Southern State",75000,Buy,"Traded $50,001 to $100,000 ."
2024-02-27,Thomas,Tuberville,"US Senator",PFE,"Pfizer Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2024-02-27,Thomas,Tuberville,"US Senator",GOGL,"Golden Ocean G",75000,Buy,"Traded $50,001 to $100,000 ."
